thread_id,email_number,rollback_status,cache_clear_status,diagnostics_required,device_consistency,browser_version,browser_type,issue_reproduction,support_required,os_type,system_change,upgrade_related,ticket_priority,escalation_status,software_version,escalation_needed,crm_version,software_version,technical_complexity,resolution_time,error_type,issue_history,error_type,issue_severity,system_affected
1,1,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,configuration_change,False,high,False,4.2.1,False,4.2.1,4.2.1,High,,database_connection_timeout_exception,one-time,database_connection_timeout_exception,critical,single system
1,2,False,,True,unknown,unknown,unknown,False,True,unknown,unknown,,unknown,False,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,critical,inventory_module
2,1,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,windows_10,configuration_change,True,high,True,4.2.3,True,4.2.3,4.2.3,High,,503: Service Unavailable,recurring,503: Service Unavailable,critical,single system
2,2,False,,True,unknown,unknown,unknown,False,True,unknown,unknown,True,high,True,unknown,True,unknown,unknown,unknown,2.0,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,multiple systems
3,1,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,True,unknown,,,,False,,unknown,,,,,,,,,,,,,,unknown
3,3,,,False,unknown,,,,False,unknown,configuration_change,True,,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
3,4,True,,True,consistent across both Chrome and Firefox,,Chrome,,False,unknown,configuration_change,True,,False,unknown,True,,unknown,Medium,,configuration_error,one-time,configuration_error,high,inventory_module
3,5,True,,,,,,,False,,unknown,False,,,,,,,unknown,,,unknown,,medium,unknown
3,6,True,,False,unknown,unknown,unknown,,False,unknown,unknown,False,unknown,,unknown,False,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
4,1,True,True,True,consistent across both Chrome and Firefox,Chrome 130.0.6723.91,Chrome,,,unknown,configuration_change,,high,,v2.1.5,True,unknown,v2.1.5,High,,database_connection_timeout_exception,one-time,database_connection_timeout_exception,critical,multiple systems
4,2,False,,True,,,,,False,,no recent changes,True,,,2.1.6,True,4.8.2,2.1.6,,,unknown_error,,unknown_error,critical,multiple systems
4,3,False,,True,consistent across both Chrome and Firefox,,Chrome,False,True,windows_10,software_update,True,high,False,unknown,True,,unknown,High,,timeout,one-time,timeout,critical,multiple systems
5,1,,True,,consistent across both Chrome and Firefox,,,,False,,software_update,True,,,CRM Pro v3.2.4,False,2.5.3,CRM Pro v3.2.4,Medium,,database_connection_failed,recurring,database_connection_failed,high,single system
5,2,,,True,unknown,unknown,unknown,,True,unknown,unknown,,unknown,False,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,critical,unknown
6,1,False,,True,consistent across both Chrome and Firefox,,,False,False,windows_10,no recent changes,False,,False,3.2.1,False,3.2.1,3.2.1,Medium,,database_connection_failed,recurring,database_connection_failed,critical,multiple systems
6,2,,,False,unknown,unknown,unknown,False,False,unknown,unknown,False,,False,unknown,False,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
6,3,,,False,consistent across both Chrome and Firefox,,,False,False,,No recent changes,False,,False,,False,,,,,database_connection_timeout_exception,,database_connection_timeout_exception,,single system
6,4,False,,True,consistent across both Chrome and Firefox,unknown,unknown,,True,windows_10,unknown,,unknown,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,high,unknown
6,5,,,False,unknown,unknown,unknown,,,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
9,1,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,unknown,False,unknown,False,unknown,False,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,critical,multiple systems
9,2,,,True,unknown,,,,False,,unknown,,,,unknown,,,unknown,unknown,,,,,,
10,1,True,True,False,consistent across both Chrome and Firefox,Chrome 129.0.6668.89,Chrome,False,False,unknown,no recent changes,False,high,False,v4.8.2,True,4.8.2,v4.8.2,unknown,2.0,database_connection_timeout_exception,one-time,database_connection_timeout_exception,critical,multiple systems
10,2,True,,True,,,,True,False,,yes,True,,False,v3.1.7,True,,v3.1.7,High,30.0,database_connection_timeout_exception,one-time,database_connection_timeout_exception,critical,multiple systems
12,1,,True,,consistent across both Chrome and Firefox,unknown,Chrome,,,unknown,unknown,,high,,CRM Pro v3.2.4,True,4.8.2,CRM Pro v3.2.4,High,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,single system
12,2,False,,True,unknown,,,,False,unknown,configuration_change,False,high,,unknown,True,unknown,unknown,Medium,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,inventory_module
13,1,,,,consistent across both Chrome and Firefox,,,,,,No recent changes,,,,2.5.3,,2.5.3,2.5.3,,,database_connection_failed,recurring,database_connection_failed,high,crm_system
13,2,,,True,unknown,unknown,unknown,,False,unknown,unknown,,,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
13,3,False,True,True,unknown,unknown,unknown,False,False,unknown,software_update,True,unknown,False,unknown,False,unknown,unknown,unknown,,unknown,unknown,unknown,critical,inventory_module
13,4,,,True,unknown,unknown,unknown,False,True,unknown,configuration_change,False,,True,unknown,True,unknown,unknown,Medium,,configuration_error,unknown,configuration_error,high,crm_system
13,5,,,True,consistent across both Chrome and Firefox,unknown,unknown,,False,unknown,unknown,,,,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,critical,single system
14,1,,,True,consistent across both Chrome and Firefox,unknown,unknown,,False,unknown,unknown,,,,unknown,True,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,critical,multiple systems
14,2,,,False,unknown,,,False,False,,,,,False,,False,,,,,,,,,
14,3,False,,False,unknown,unknown,unknown,,False,unknown,software_update,True,unknown,False,3.2.1,False,unknown,3.2.1,unknown,,database_connection_failed,unknown,database_connection_failed,unknown,crm_system
14,4,True,,False,consistent across both Chrome and Firefox,,,False,True,,configuration_change,True,,False,CRM Pro v3.2.4,True,,CRM Pro v3.2.4,High,,configuration_error,one-time,configuration_error,high,crm_system
14,5,,,,unknown,unknown,unknown,False,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,critical,single system
15,1,True,,True,consistent across both Chrome and Firefox,unknown,unknown,,False,unknown,software_update,True,high,,v2.4.7,True,unknown,v2.4.7,Medium,,API endpoint timeout,recurring,API endpoint timeout,critical,multiple systems
15,2,,,True,consistent across both Chrome and Firefox,,unknown,False,False,unknown,unknown,True,unknown,,CRM Pro v3.2.4,True,unknown,CRM Pro v3.2.4,Medium,,API socket issue,one-time,API socket issue,high,CNC equipment
15,3,True,,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,,True,windows_10,software_update,True,,,v3.14.2,True,,v3.14.2,High,,database_connection_timeout_exception,,database_connection_timeout_exception,critical,single system
17,1,True,True,False,consistent across both Chrome and Firefox,,,,False,unknown,software_update,True,,,CRM Pro v3.2.4,False,,CRM Pro v3.2.4,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,multiple systems
17,2,,,True,unknown,unknown,unknown,,False,unknown,configuration_change,True,,,v3.14.2,,unknown,v3.14.2,Medium,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,high,crm_system
18,1,,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,,False,unknown,configuration_change,True,,,CRM v3.2.1,True,3.2.1,CRM v3.2.1,Medium,,Error 503: Service Unavailable,recurring,Error 503: Service Unavailable,critical,multiple systems
18,2,True,,True,consistent across both Chrome and Firefox,unknown,unknown,,False,unknown,configuration_change,True,high,,3.2.1,True,3.2.1,3.2.1,High,,configuration_error,one-time,configuration_error,critical,multiple systems
18,3,True,,True,unknown,,,False,True,unknown,unknown,False,,False,unknown,True,,unknown,unknown,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,multiple systems
20,1,,True,True,,,,,False,unknown,unknown,False,,,,False,,,,,database_connection_failed,,database_connection_failed,high,inventory_module
20,2,,,True,unknown,unknown,unknown,,,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
20,3,False,,False,consistent across both Chrome and Firefox,,,False,False,,No recent changes,False,,False,,False,,,,,database_connection_failed,one-time,database_connection_failed,high,inventory_module
