thread_id,email_number,rollback_status,cache_clear_status,diagnostics_required,device_consistency,browser_version,browser_type,issue_reproduction,support_required,os_type,system_change,upgrade_related,ticket_priority,escalation_status,software_version,escalation_needed,crm_version,technical_complexity,error_type,issue_history,issue_severity,system_affected,ticket_created
268,3,False,False,False,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,unknown,False,unknown,False,unknown,True,unknown,unknown,database_connection_failed,unknown,high,single system,0
55,2,False,True,True,consistent across both Chrome and Firefox,Chrome 129,Chrome,False,True,Windows Server 2019,configuration_change,True,high,False,v3.7.2,True,unknown,High,timeout,recurring,critical,single system,1
39,3,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,True,True,unknown,No recent changes,True,high,False,3.2.1,True,unknown,High,503: Service Unavailable,one-time,critical,single system,0
14,3,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,software_update,True,unknown,False,3.2.1,True,unknown,unknown,database_connection_failed,unknown,critical,crm_system,0
200,2,True,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,high,True,4.7.2,True,4.7.2,High,503: Service Unavailable,recurring,critical,single system,1
220,1,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,configuration_change,True,unknown,False,3.2.5,False,unknown,Medium,database_connection_timeout_exception,unknown,critical,single system,0
81,1,False,True,True,unknown,unknown,unknown,False,True,unknown,hardware_upgrade,True,unknown,False,2.2.0,True,unknown,unknown,database_connection_failed,unknown,critical,inventory_module,0
133,3,False,True,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122",Chrome,False,True,Windows POS,configuration_change,True,high,True,v3.14.2,True,2.7.1,High,database_connection_failed,recurring,critical,multiple systems,1
100,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,windows_10,configuration_change,True,unknown,False,3.2.1,True,3.2.1,High,503: Service Unavailable,recurring,high,single system,0
44,5,True,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,software_update,True,high,True,3.2.1,True,unknown,High,database_connection_failed,unknown,medium,inventory_module,1
